RegionID,SizeRank,RegionName,RegionType,StateName,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020
395025,13,"Riverside, CA",Msa,CA,316421,308288,301160,292398,282388,274697,266956,258545,250107,240439,234488,228644,223784,219104,214825,212112,213939,212180,212303,213155,214820,215956,214320,213706,207500,208362,207901,210024,208004,207280,204711,203790,202265,203950,204047,203116,201488,200718,199415,197224,197156,198188,198585,196471,194026,193432,194926,197632,199305,199930,200298,202237,202192,204209,206410,213262,218930,223757,225591,229421,234729,240315,245235,249527,255014,259140,263221,263751,265941,268036,271869,272997,272777,275160,277538,278874,279798,279959,282146,285659,287986,288548,289776,291668,295171,294807,297172,299374,301811,303753,304732,305767,307662,309487,310938,313111,315220,318803,319061,320570,322098,325620,327138,328915,330590,332976,334220,335510,338189,340427,343237,344623,347360,348023,350814,352110,354315,356667,360306,361466,361347,360803,361813,362552,360253,363257,362240,363747,364401,365404,365036,365672,368969,371670,372528,369849,367544,373849,376018,377009,378455,379526,381235,383302,383715,384799,386542
394976,14,"Phoenix, AZ",Msa,AZ,231240,227895,224085,219098,214669,208662,204302,198137,193242,186005,180645,175665,173201,167842,163289,160944,157977,156949,154025,153597,151667,152786,151997,152024,151544,150047,148491,146664,144301,143116,142430,142034,141233,140377,139836,137571,135467,131870,129612,127608,128489,129140,129137,129832,132090,135523,137860,140792,144503,150364,154679,157833,160524,163623,167157,170218,172538,174865,177223,180904,184495,187525,190220,193803,195372,197620,199430,201715,202563,202992,204030,205085,205125,204839,205175,206328,208788,208835,209216,207912,210075,211844,213933,214920,215399,217694,219096,221013,221422,222811,223653,226345,228374,230219,230993,231483,233963,235289,236693,236020,237307,239982,243036,244714,245232,245465,246476,247253,248524,249294,251415,253498,255394,255482,256769,257936,259401,261296,264472,267459,268409,270008,271529,273753,272977,275022,274792,276641,277912,279554,279196,279330,281720,286244,289037,289214,288065,292512,295337,296850,298870,300547,303075,305423,306937,306725,307625
395078,15,"Seattle, WA",Msa,WA,352040,349925,348199,344527,342206,337839,335655,332489,329457,325984,321898,319191,319151,317355,317996,315586,313421,311964,312483,311833,310279,309891,310812,310577,308089,306968,301151,306833,307003,311442,306462,306188,306762,305182,304368,301620,299465,293113,287148,276838,273059,267889,266853,264132,262474,263973,263008,264635,268036,272551,278344,280917,282501,283741,286387,290196,291305,289038,290549,293467,298924,303413,305219,310788,313290,318235,319886,319975,320717,320460,322006,320918,321232,319928,323260,324983,327647,328402,329538,333145,335230,340699,342610,347132,348072,350197,350927,350710,353679,354285,358548,357847,359557,363429,366933,370791,369102,374320,378295,385833,390078,395072,397942,403364,407421,409523,409443,410201,415955,420363,427383,432580,438452,444985,449787,455458,460767,463019,468024,469327,478071,480235,480344,474698,467707,473242,471549,471246,468834,469975,471672,476903,477466,485248,485821,484277,474129,487939,491798,493861,498166,501834,504241,505534,506012,504220,508348
394865,16,"Minneapolis-St Paul, MN",Msa,MN,225709,224399,221818,217590,214734,211500,209257,205846,203786,201589,198550,194778,191591,189161,187874,187786,185445,184955,184000,184793,183286,182432,183530,186588,189606,187567,186335,188112,190698,192196,191325,190542,190572,189346,187859,184209,180935,178969,178194,174621,171723,166893,165781,164442,163756,164849,164899,167319,168458,170821,171495,173571,174717,178242,179032,180510,180843,180781,180496,181615,184464,188233,191721,195706,198350,200885,202632,204525,205656,207377,208673,208721,207507,206872,208476,208892,210768,209227,210517,209879,212116,213019,215934,218618,221400,222018,220576,219609,218960,220939,221572,224078,225424,226362,225819,224814,225834,227563,229350,231076,232091,233380,235013,235897,235788,236290,236573,238146,238634,239365,242567,244535,247554,248132,247833,248427,250263,253534,256415,257402,257616,258700,258764,259375,258007,261780,264740,267200,268625,269309,271120,272511,272982,274207,275721,275340,273743,278032,278682,279489,281009,282344,283053,284675,287466,289198,290719
395056,17,"San Diego, CA",Msa,CA,452674,441390,433542,422401,414024,404577,396843,388820,380351,374379,370815,366022,355109,357351,359091,361759,361858,363492,363609,364508,366715,367664,367796,368556,364179,365180,361211,363243,364637,367627,368759,370232,369702,365602,360994,360689,360159,358092,355158,354692,353560,350617,350233,348171,347631,348487,350776,351099,349777,349981,352126,352207,355438,356988,362015,367687,376439,381834,386074,389367,398745,408753,416236,421258,421597,426930,428249,433225,434211,436849,437903,440446,442350,442784,443583,445625,450985,455905,458259,454667,451751,453914,461034,466878,466834,466740,469124,473113,474592,472044,471742,478968,486527,491902,489567,487351,490463,494072,496580,497105,499985,506726,515118,516945,518494,517214,522424,528628,530773,535478,538842,543166,543984,544297,545762,548646,555087,558845,562323,563791,571469,577959,580944,581990,584258,592001,590110,588767,584608,584539,581465,580712,580807,582416,586080,581604,580281,580788,584493,588029,592211,595073,599244,602368,602591,601816,601539
395121,18,"St. Louis, MO",Msa,MO,156418,156685,155416,154304,152620,151342,150065,148791,146894,143850,142383,142755,143924,142258,142533,142663,143923,144329,145033,144436,144351,146328,148082,149752,150324,149758,149028,148729,148088,148355,148120,149677,151804,153478,152671,147324,143587,141913,142127,141931,141902,141221,140886,141424,141794,140662,139503,140418,142557,144814,145291,145466,145459,146543,147144,147263,146863,148204,149389,152111,153001,152448,152621,153493,155282,156001,156425,156190,156722,157512,157106,155105,153769,154642,156641,157261,157832,156691,157336,157796,158695,157376,158232,159573,161486,161459,160209,160588,160598,162375,161893,162244,161420,162816,162951,164762,165124,166846,167972,167686,167374,166441,168669,169040,171032,172121,173677,173371,172429,172169,172791,174774,175756,177893,177495,180058,179480,178760,179560,179690,182902,182283,181408,179740,177554,180299,179768,180031,181188,183693,185374,185988,183736,184896,186964,187052,185700,188710,190328,190424,191224,191284,191232,192603,194839,196109,196662
395148,19,"Tampa, FL",Msa,FL,181006,179822,177020,174819,172314,170189,166514,162371,159103,157243,154676,153326,151349,148100,146093,145241,143105,141063,139588,141148,141144,139611,139221,137701,138355,136334,136023,133375,133492,132832,135046,133600,132531,130492,128718,126684,124873,124211,123978,122567,121794,121375,120562,119548,119649,120928,122004,122466,123809,124603,125452,126576,128284,128900,129102,131407,133953,136854,139019,142085,143828,145619,147816,150986,153314,155257,156333,157455,158686,158843,158691,158172,158690,160683,161000,162465,162529,163981,166611,167421,168318,168186,169472,171172,172202,172611,173301,173910,174566,176212,176487,177359,177098,178376,180645,181777,184333,185556,187585,187471,189359,189292,191128,191974,194705,195737,196577,197795,198940,201357,202989,205887,206430,207950,207998,210795,211793,214432,214674,217147,217415,218656,219017,219630,219627,220965,222333,224498,225600,226681,226867,226320,225590,224900,226030,227370,228320,230465,231746,231420,232620,233318,235783,237713,240771,243131,244671
394358,20,"Baltimore, MD",Msa,MD,264738,266164,267484,267771,263751,263175,259711,262015,260163,258872,255000,253717,257197,255236,252915,251448,252718,251554,250901,247055,249041,251248,254467,253177,252709,250451,248725,247418,250953,253165,261647,261473,258622,254048,254786,259137,259906,256699,254412,254171,255328,251354,245564,243564,247578,250960,251597,247645,246800,251026,255913,257908,254416,255281,256683,258159,255561,257961,257478,260208,261107,263889,263979,266770,269446,275378,275921,279322,279871,278336,275577,275675,278381,281097,282513,277922,278665,275089,280066,280450,282386,284399,285977,287609,285145,279581,277177,280397,279635,280594,274043,273996,275981,277359,280036,278848,280919,283672,285084,286398,286639,286153,287790,284538,282329,279606,281912,281413,281239,281130,282942,282416,281806,280962,281572,283806,285238,288606,285421,286514,286186,289148,289817,289032,289409,291937,294621,296657,296272,295571,296082,294895,293422,292364,295253,299054,296174,296943,295808,295160,296513,297270,299176,300971,303452,304041,302451
394530,21,"Denver, CO",Msa,CO,242986,240532,238391,237585,235607,233887,232128,231618,230179,226260,222780,221310,222161,224959,226506,223980,222288,220406,221474,220110,220712,225495,230472,233577,230035,228826,228649,232648,238371,244080,244892,246512,247191,246175,247087,246075,245736,242269,240744,239850,238957,238459,238785,240292,241706,243906,240132,238745,240113,246549,251744,252824,253203,253712,256070,258304,257465,257992,261163,265655,267186,266358,265853,268174,269730,270810,270716,269077,271000,271191,272542,271230,273161,275095,276958,278588,280414,283661,285617,289913,293723,299082,302060,306925,309242,312024,313378,314269,316932,319076,322850,327002,329251,331518,334240,338465,341362,345892,349377,354505,356479,359438,362191,364532,367339,369243,370391,371658,374061,375751,379062,380745,383400,384284,387194,389245,394151,398303,406473,408278,412617,413177,415970,414446,413702,415307,416278,416337,417210,416443,414012,412875,414159,418818,420586,420833,418736,423935,424939,427013,427012,428811,430130,433373,433403,432708,432817
394982,22,"Pittsburgh, PA",Msa,PA,123799,123563,123770,124964,125376,124802,123590,123713,123719,125441,124549,124332,123135,123556,124851,124255,124149,123260,124052,124282,124597,123180,124107,124730,127739,127750,126052,123634,122997,125981,128074,128157,128179,126548,127580,127783,126787,127225,125637,128615,129237,129800,129184,128789,128795,130611,130503,130143,130898,131174,134762,134475,135337,133843,134454,135867,137677,138798,138576,138580,138447,140028,140261,140341,139561,140536,140547,140944,139083,137546,137471,139044,140176,139955,139734,140241,141682,142655,143459,142822,143980,144850,146229,146373,146757,146285,145659,146813,147619,147282,145888,146028,148447,149786,150146,148911,149752,150677,152047,151316,151686,152702,154953,155830,155187,155393,155451,156118,156191,157956,158736,159592,159234,159758,161175,163400,163230,162872,163682,165758,166004,164092,164663,164504,164765,165448,165050,164981,166249,169159,172258,172396,170519,170829,172679,174058,173978,175516,176112,176360,176975,176342,175080,175363,178049,179741,179259
